cruise_id	n_files	lon_min	lon_max	lat_min	lat_max	lon_center	lat_center	total_lines	n_keep	n_review	n_hv_review	n_exclude
KR04-14	20	125.51829	136.021536	17.947002	24.582833	130.8	21.3	5473997.0	20	0	0	0
KY03-06	20	140.921328	148.525847	16.066487	19.738638	144.7	17.9	9489231.0	20	0	0	0
KY14-14	20	133.978357	139.402781	32.681957	35.10175	136.7	33.9	6338020.0	19	1	0	0
KY10-08	20	136.243204	138.737173	33.029245	34.546012	137.5	33.8	3578180.0	20	0	0	0
KY12-01	20	134.21694	138.616454	32.119942	34.576368	136.4	33.3	4871311.0	0	0	0	20
KR05-04	20	139.618788	146.711748	34.779051	42.741751	143.2	38.8	11230822.0	20	0	0	0
KR10-08	19	139.791508	156.294892	34.770772	40.585092	148.0	37.7	7204549.0	19	0	0	0
KR05-06	19	135.572499	141.99024	21.033611	31.53681	138.8	26.3	12565622.0	19	0	0	0
KR07-13	19	136.60872	143.5526	27.473914	29.488911	140.1	28.5	11933893.0	19	0	0	0
MR03-K03	19	89.933652	154.084907	-23.433236	6.435425	122.0	-8.5	17350617.0	19	0	0	0
KY07-15	18	140.62392	142.47991	24.141673	31.969397	141.6	28.1	13245242.0	18	0	0	0
KY05-11	18	136.134658	145.402745	30.008963	32.170071	140.8	31.1	9201693.0	18	0	0	0
KR11-E03	18	141.865614	145.320323	36.954762	39.938632	143.6	38.4	17609141.0	18	0	0	0
KR09-14	18	132.459305	136.912561	31.066957	33.375822	134.7	32.2	19708196.0	18	0	0	0
KR05-14	18	126.922581	150.67724	15.681059	30.732536	138.8	23.2	8708671.0	18	0	0	0
KR06-07	18	136.727767	143.485074	24.008478	29.683845	140.1	26.8	18496439.0	18	0	0	0
MR00-K05	18	139.950238	152.652455	29.975677	41.342761	146.3	35.7	7394374.0	18	0	0	0
KY07-07	18	140.736236	143.002009	21.500052	30.658447	141.9	26.1	15128380.0	18	0	0	0
KR07-03	18	138.001643	145.260181	24.009342	34.458391	141.6	29.2	14643761.0	18	0	0	0
KY11-06	17	136.049409	139.273919	32.907888	34.827513	137.7	33.9	4827740.0	17	0	0	0
KR08-15	17	126.957843	150.814044	18.768455	34.744007	138.9	26.8	7693443.0	17	0	0	0
KR11-01	17	139.422563	144.020402	25.286117	35.124458	141.7	30.2	7703485.0	14	0	3	0
KR11-10	17	140.007254	165.551191	28.67867	38.274847	152.8	33.5	4797350.0	17	0	0	0
KR01-12	17	-157.900839	-154.02397	16.941274	21.492216	-156.0	19.2	5363678.0	17	0	0	0
KR12-18	16	134.669743	139.202204	19.094491	34.662677	136.9	26.9	3646642.0	16	0	0	0
KY14-11	16	134.508457	139.661932	32.738783	35.090273	137.1	33.9	7672489.0	16	0	0	0
KY14-07	16	132.102647	139.149756	30.750584	34.515266	135.6	32.6	6142363.0	16	0	0	0
KY00-12	16	-179.970191	179.967694	0.449786	10.936045	-0.0	5.7	4843742.0	16	0	0	0
KY12-09	16	134.244426	139.496021	32.595685	34.97551	136.9	33.8	4727091.0	16	0	0	0
KY12-11	16	134.365293	139.590419	32.5928	35.011075	137.0	33.8	3350382.0	16	0	0	0
KR03-10	16	-179.712021	179.87554	34.798185	49.90146	0.1	42.3	8524188.0	16	0	0	0
KR02-01	16	142.235662	145.045886	18.503697	26.670136	143.6	22.6	4615660.0	0	0	16	0
KY10-02	16	132.911859	134.611959	31.482567	33.053493	133.8	32.3	4691724.0	16	0	0	0
KY13-09	16	140.460038	146.565701	32.232762	38.19015	143.5	35.2	3430827.0	16	0	0	0
KY06-13	16	136.01996	138.201038	32.480786	34.525116	137.1	33.5	7516207.0	16	0	0	0
KR03-13	16	142.531697	145.505875	12.431007	23.001327	144.0	17.7	7286012.0	16	0	0	0
MR04-01	15	110.71675	139.00852	-29.806008	32.831631	124.9	1.5	9299352.0	15	0	0	0
KR12-01	15	125.314843	139.595264	23.793564	35.040386	132.5	29.4	8398439.0	14	0	1	0
KR12-14	15	153.130134	159.940786	37.897167	41.223841	156.5	39.6	4131380.0	15	0	0	0
KY10-10	15	141.271174	149.382192	35.669014	41.266973	145.3	38.5	2390249.0	15	0	0	0
KY04-12	15	133.098592	142.98804	29.96045	34.979672	138.0	32.5	5282510.0	15	0	0	0
KR04-15	15	133.620935	144.925767	26.46131	33.765885	139.3	30.1	6958000.0	15	0	0	0
KR06-15	15	139.879178	147.811535	12.972859	34.440999	143.8	23.7	5192678.0	0	0	15	0
KR10-07	14	138.406191	141.853445	31.78739	35.182431	140.1	33.5	5585806.0	14	0	0	0
KR05-01	14	145.531737	157.286216	-4.441516	25.041688	151.4	10.3	10051741.0	14	0	0	0
KR03-12	14	144.446562	145.22211	16.494068	18.507997	144.8	17.5	5161283.0	14	0	0	0
KR04-01	14	139.067339	139.870289	32.924701	34.679663	139.5	33.8	13256714.0	14	0	0	0
KR08-09	14	136.630483	140.978267	31.858876	33.788347	138.8	32.8	15317071.0	14	0	0	0
KY03-10	14	138.985083	140.539438	30.16384	32.50311	139.8	31.3	9265400.0	14	0	0	0
MR03-K02	14	139.904854	171.753904	9.541129	34.805869	155.8	22.2	7985660.0	14	0	0	0
KR01-11	14	-179.743075	179.963948	28.46604	42.289445	0.1	35.4	5714315.0	14	0	0	0
MR01-K02	14	140.36895	152.537699	29.931092	41.541807	146.5	35.7	7796980.0	14	0	0	0
KR04-08	14	141.841079	152.984497	35.070276	39.554849	147.4	37.3	4825267.0	14	0	0	0
KY01-02	14	141.883903	150.0998	32.949041	38.081668	146.0	35.5	4514475.0	14	0	0	0
KR12-12	14	135.277555	139.137585	32.357223	34.516053	137.2	33.4	9024357.0	14	0	0	0
KY10-15	14	136.025315	139.671098	32.692618	35.051633	137.8	33.9	2745358.0	14	0	0	0
KR02-16	13	138.490465	140.990761	30.261403	32.508831	139.7	31.4	9932510.0	13	0	0	0
