file_id	subzip_id	relative_path	filename	ext	size_bytes	line_count	col_count	is_ascii	has_header	lon_min	lon_max	lat_min	lat_max	depth_min	depth_max	depth_sign	status	notes	first_lines	used_for_points	data_layout	lon_col	lat_col	depth_col	date_col	time_col	sonar_idx_col	cruise_id_guess	date_guess	track_kind	file_role	include_in_points_raw	exclude_reason	duplicate_group_id	duplicate_candidate
MR03-K04_leg4_bathymetry_dmo::track_i04.dat	MR03-K04_leg4_bathymetry_dmo	MR03-K04_leg4_bathymetry_dmo/track_i04.dat	track_i04.dat	.dat	30170	862.0	4.0	True	False	0.0	861.0	-24.673	-24.655	35.365	43.869	positive	invalid_lonlat_range	col_range: c1=[0.00,861.00] c2=[-24.67,-24.66] c3=[35.37,43.87]; col1/col2 outside lon/lat bounds	    0.0  -24.667   35.365   124.5 | 1.0  -24.667   35.375   136.5 | 2.0  -24.667   35.385   150.5 | 3.0  -24.667   35.395   164.2 | 4.0  -24.667   35.405   176.7	False	unknown_or_non_bathymetry							MR03-K04		unknown_or_survey	auxiliary_track	False	used_for_points_false	5105	True
MR03-K04_leg4_bathymetry_dmo::grid_a10.dat	MR03-K04_leg4_bathymetry_dmo	MR03-K04_leg4_bathymetry_dmo/grid_a10.dat	grid_a10.dat	.dat	56804816	2282875.0	3.0	True	False	312.603	375.003	-30.27135	-27.72874	160.9	5625.3	positive	invalid_lonlat_range	col_range: c1=[312.60,375.00] c2=[-30.27,-27.73] c3=[160.90,5625.30]; col1/col2 outside lon/lat bounds	312.603 -27.73034 178.6 | 312.603 -27.73194 179.3 | 312.604 -27.72874 178.7 | 312.604 -27.73034 178.9 | 312.604 -27.73194 180.0	False	unknown_or_non_bathymetry							MR03-K04		unknown_or_survey	auxiliary_grid	False	used_for_points_false	5096	True
MR03-K04_leg4_bathymetry_dmo::track_i03.dat	MR03-K04_leg4_bathymetry_dmo	MR03-K04_leg4_bathymetry_dmo/track_i03.dat	track_i03.dat	.dat	237265	6779.0	4.0	True	False	0.0	6851.9	-22.226	-19.975	48.914	113.76	positive	invalid_lonlat_range	col_range: c1=[0.00,6851.90] c2=[-22.23,-19.98] c3=[48.91,113.76]; col1/col2 outside lon/lat bounds	    0.0  -20.004   48.914   233.5 | 1.0  -20.005   48.924   372.2 | 2.0  -20.005   48.933   483.4 | 3.0  -20.006   48.943   594.2 | 4.0  -20.006   48.952   672.3	False	unknown_or_non_bathymetry							MR03-K04		unknown_or_survey	auxiliary_track	False	used_for_points_false	5104	True
MR03-K04_leg4_bathymetry_dmo::grid_i03.dat	MR03-K04_leg4_bathymetry_dmo	MR03-K04_leg4_bathymetry_dmo/grid_i03.dat	grid_i03.dat	.dat	66307556	2368127.0	3.0	True	False	48.91144	113.76225	-22.2359	-19.8376	138.9	6622.9	positive	ok_xyz_3col		  48.91144 -20.00729  266.2 | 48.91144 -20.00899  289.0 | 48.91324 -20.00390  230.5 | 48.91324 -20.00559  243.3 | 48.91324 -20.00729  255.2	True	lon_lat_depth_3col	0.0	1.0	2.0				MR03-K04		unknown_or_survey	auxiliary_grid	False	auxiliary_grid	5097	True
MR03-K04_leg4_bathymetry_dmo::track_a10.dat	MR03-K04_leg4_bathymetry_dmo	MR03-K04_leg4_bathymetry_dmo/track_a10.dat	track_a10.dat	.dat	214235	6121.0	4.0	True	False	0.0	6136.9	-30.216	-27.732	-47.39	15.003	mixed	invalid_lonlat_range	col_range: c1=[0.00,6136.90] c2=[-30.22,-27.73] c3=[-47.39,15.00]; col1/col2 outside lon/lat bounds	    0.0  -27.732  -47.390   181.6 | 1.0  -27.734  -47.380   185.7 | 2.0  -27.736  -47.370   190.5 | 3.0  -27.738  -47.360   195.4 | 4.0  -27.740  -47.350   201.0	False	unknown_or_non_bathymetry							MR03-K04		unknown_or_survey	auxiliary_track	False	used_for_points_false	5103	True
MR05-02_bathymetry_pi::track_p10r.dat	MR05-02_bathymetry_pi	MR05-02_bathymetry_pi/track_p10r.dat	track_p10r.dat	.dat	180302	5303.0	4.0	True	False	0.0	5371.6	-4.015	42.253	143.738	149.363	positive	invalid_lonlat_range	col_range: c1=[0.00,5371.60] c2=[-4.01,42.25] c3=[143.74,149.36]; col1/col2 outside lon/lat bounds	    0.0   -4.015  144.812   236.0 | 1.0   -4.007  144.817   329.0 | 2.0   -4.000  144.822   542.8 | 3.0   -3.992  144.827   671.2 | 4.0   -3.985  144.832   776.8	False	unknown_or_non_bathymetry							MR05-02		unknown_or_survey	auxiliary_track	False	used_for_points_false	5108	False
MR05-02_bathymetry_pi::grid_p10r.dat	MR05-02_bathymetry_pi	MR05-02_bathymetry_pi/grid_p10r.dat	grid_p10r.dat	.dat	53971866	2075841.0	3.0	True	False	143.7274	149.4648	-4.0165	42.2568	235.4	7316.0	positive	ok_xyz_3col		144.8132  -4.0165   237.1 | 144.8150  -4.0165   239.8 | 144.8168  -4.0165   251.7 | 144.8186  -4.0165   269.0 | 144.8096  -4.0147   259.3	True	lon_lat_depth_3col	0.0	1.0	2.0				MR05-02		unknown_or_survey	auxiliary_grid	False	auxiliary_grid	5101	False
MR05-02_bathymetry_pi::dist_p10r.dat	MR05-02_bathymetry_pi	MR05-02_bathymetry_pi/dist_p10r.dat	dist_p10r.dat	.dat	4092	124.0	5.0	True	False	0.0	5371.9	-4.015	42.253	143.738	149.363	positive	invalid_lonlat_range	col_range: c1=[0.00,5371.90] c2=[-4.01,42.25] c3=[143.74,149.36]; col1/col2 outside lon/lat bounds	    0.0   -4.015  144.812 1   1 | 4.5   -3.981  144.834 2   1 | 16.4   -3.889  144.890 3   1 | 50.0   -3.610  145.009 4   1 | 87.2   -3.302  145.145 5   1	False	unknown_or_non_bathymetry							MR05-02		unknown_or_survey	auxiliary_dist	False	used_for_points_false	5094	False
MR03-K04_leg1_bathymetry_dmo::grid_i04.dat	MR03-K04_leg1_bathymetry_dmo	MR03-K04_leg1_bathymetry_dmo/grid_i04.dat	grid_i04.dat	.dat	7276696	259882.0	3.0	True	False	35.36317	43.88279	-24.72478	-24.59508	123.7	4147.7	positive	ok_xyz_3col		  35.36317 -24.66733  124.5 | 35.36317 -24.66898  125.7 | 35.36317 -24.67062  125.5 | 35.36497 -24.66569  123.7 | 35.36497 -24.66733  124.6	True	lon_lat_depth_3col	0.0	1.0	2.0				MR03-K04		unknown_or_survey	auxiliary_grid	False	auxiliary_grid	5098	True
MR03-K04_leg1_bathymetry_dmo::track_p06.dat	MR03-K04_leg1_bathymetry_dmo	MR03-K04_leg1_bathymetry_dmo/track_p06.dat	track_p06.dat	.dat	450065	12859.0	4.0	True	False	0.0	12903.4	-32.517	-30.006	-179.997	179.992	mixed	invalid_lonlat_range	col_range: c1=[0.00,12903.40] c2=[-32.52,-30.01] c3=[-180.00,179.99]; col1/col2 outside lon/lat bounds	    0.0  -30.095  153.483    92.2 | 1.0  -30.093  153.493    97.7 | 2.0  -30.090  153.503   105.3 | 3.0  -30.088  153.513   114.5 | 4.0  -30.086  153.523   135.8	False	unknown_or_non_bathymetry							MR03-K04		unknown_or_survey	auxiliary_track	False	used_for_points_false	5107	True
