file_id	input_relative_path	output_relative_path	data_layout	rows_expected_from_manifest	rows_written	lon_raw_min	lon_raw_max	lon_min	lon_max	lat_min	lat_max	depth_min	depth_max	elev_min	elev_max	has_date_time_sonar	status	notes
KR13-11_bathymetry_dmo::KR13-11_bathymetry_dmo/2_OpenCheckData/KR13-11/KR13-11.dat	KR13-11_bathymetry_dmo/2_OpenCheckData/KR13-11/KR13-11.dat	derived/points_raw_sample/KR13-11_bathymetry_dmo__KR13-11_bathymetry_dmo__2_OpenCheckData__KR13-11__KR13-11.parquet	lon_lat_depth_3col	1604491.0	1604491	141.875632	144.856385	141.875632	144.856385	38.207838	40.001949	214.661	9867.278	-9867.278	-214.661	False	ok	
KY13-10_bathymetry_dmo::20130717.dat	KY13-10_bathymetry_dmo/20130717.dat	derived/points_raw_sample/KY13-10_bathymetry_dmo__20130717.parquet	lon_lat_depth_3col	388050.0	388050	140.938207	141.193357	140.93820700000003	141.193357	34.450606	35.964899	131.314	6196.195	-6196.195	-131.314	False	ok	
KR11-01_bathymetry_dmo::20110112.dat	KR11-01_bathymetry_dmo/20110112.dat	derived/points_raw_sample/KR11-01_bathymetry_dmo__20110112.parquet	date_time_sonar_lon_lat_depth_6col	525401.0	525401	141.308443	142.577968	141.308443	142.577968	28.052917	29.942438	1156.3	6775.7	-6775.7	-1156.3	True	ok	
KR11-01_bathymetry_dmo::20110107.dat	KR11-01_bathymetry_dmo/20110107.dat	derived/points_raw_sample/KR11-01_bathymetry_dmo__20110107.parquet	date_time_sonar_lon_lat_depth_6col	518038.0	518038	142.977388	144.020402	142.97738800000002	144.020402	25.286117	27.286676	2323.6	9059.3	-9059.3	-2323.6	True	ok	
