file_id	input_path	output_path	rows_read	rows_written	qc_pass_count	qc_fail_count	qc_pass_rate	fail_lon	fail_lat	fail_depth_positive	fail_depth_extreme	fail_elev_negative	fail_nan	fail_zero_depth	status	notes
KY11-02_leg1_bathymetry_dmo::T20110204.dat	derived/points_raw/KY11-02_leg1_bathymetry_dmo__T20110204.parquet	derived/points_qc/KY11-02_leg1_bathymetry_dmo__T20110204.parquet	371169	371169	371169	0	1.0	0	0	0	0	0	0	0	ok	
KY11-02_leg1_bathymetry_dmo::20110203.dat	derived/points_raw/KY11-02_leg1_bathymetry_dmo__20110203.parquet	derived/points_qc/KY11-02_leg1_bathymetry_dmo__20110203.parquet	218847	218847	218847	0	1.0	0	0	0	0	0	0	0	ok	
KY11-02_leg1_bathymetry_dmo::T20110206.dat	derived/points_raw/KY11-02_leg1_bathymetry_dmo__T20110206.parquet	derived/points_qc/KY11-02_leg1_bathymetry_dmo__T20110206.parquet	136483	136483	136483	0	1.0	0	0	0	0	0	0	0	ok	
KY11-02_leg1_bathymetry_dmo::T20110201.dat	derived/points_raw/KY11-02_leg1_bathymetry_dmo__T20110201.parquet	derived/points_qc/KY11-02_leg1_bathymetry_dmo__T20110201.parquet	461355	461355	461355	0	1.0	0	0	0	0	0	0	0	ok	
KM17-03_bathymetry_dmo::KM17-03.dat	derived/points_raw/KM17-03_bathymetry_dmo__KM17-03.parquet	derived/points_qc/KM17-03_bathymetry_dmo__KM17-03.parquet	1068	1068	1068	0	1.0	0	0	0	0	0	0	0	ok	
KY05-08_bathymetry_dmo::20050809.dat	derived/points_raw/KY05-08_bathymetry_dmo__20050809.parquet	derived/points_qc/KY05-08_bathymetry_dmo__20050809.parquet	445859	445859	445859	0	1.0	0	0	0	0	0	0	0	ok	
KY05-08_bathymetry_dmo::20050812.dat	derived/points_raw/KY05-08_bathymetry_dmo__20050812.parquet	derived/points_qc/KY05-08_bathymetry_dmo__20050812.parquet	103999	103999	103999	0	1.0	0	0	0	0	0	0	0	ok	
KY05-08_bathymetry_dmo::20050813.dat	derived/points_raw/KY05-08_bathymetry_dmo__20050813.parquet	derived/points_qc/KY05-08_bathymetry_dmo__20050813.parquet	429323	429323	429323	0	1.0	0	0	0	0	0	0	0	ok	
KY05-08_bathymetry_dmo::20050811.dat	derived/points_raw/KY05-08_bathymetry_dmo__20050811.parquet	derived/points_qc/KY05-08_bathymetry_dmo__20050811.parquet	208049	208049	208049	0	1.0	0	0	0	0	0	0	0	ok	
KY05-08_bathymetry_dmo::20050808.dat	derived/points_raw/KY05-08_bathymetry_dmo__20050808.parquet	derived/points_qc/KY05-08_bathymetry_dmo__20050808.parquet	401252	401252	401252	0	1.0	0	0	0	0	0	0	0	ok	
KY05-08_bathymetry_dmo::20050814.dat	derived/points_raw/KY05-08_bathymetry_dmo__20050814.parquet	derived/points_qc/KY05-08_bathymetry_dmo__20050814.parquet	134133	134133	134133	0	1.0	0	0	0	0	0	0	0	ok	
KR16-01_leg1_bathymetry_dmo::KR16-01_leg1_bathymetry_dmo/2_OpenCheckData/KR16-01_LEG1_transit/KR16-01_leg1_t.dat	derived/points_raw/KR16-01_leg1_bathymetry_dmo__KR16-01_leg1_bathymetry_dmo__2_OpenCheckData__KR16-01_LEG1_transit__KR16-01_leg1_t.parquet	derived/points_qc/KR16-01_leg1_bathymetry_dmo__KR16-01_leg1_bathymetry_dmo__2_OpenCheckData__KR16-01_LEG1_transit__KR16-01_leg1_t.parquet	1660634	1660634	1660634	0	1.0	0	0	0	0	0	0	0	ok	
KR16-01_leg1_bathymetry_dmo::KR16-01_leg1_bathymetry_dmo/2_OpenCheckData/KR16-01_LEG1/KR16-01_leg1.dat	derived/points_raw/KR16-01_leg1_bathymetry_dmo__KR16-01_leg1_bathymetry_dmo__2_OpenCheckData__KR16-01_LEG1__KR16-01_leg1.parquet	derived/points_qc/KR16-01_leg1_bathymetry_dmo__KR16-01_leg1_bathymetry_dmo__2_OpenCheckData__KR16-01_LEG1__KR16-01_leg1.parquet	873114	873114	873114	0	1.0	0	0	0	0	0	0	0	ok	
KY04-07_leg2_bathymetry_dmo::20040625.dat	derived/points_raw/KY04-07_leg2_bathymetry_dmo__20040625.parquet	derived/points_qc/KY04-07_leg2_bathymetry_dmo__20040625.parquet	384382	384382	384382	0	1.0	0	0	0	0	0	0	0	ok	
KY04-07_leg2_bathymetry_dmo::20040630.dat	derived/points_raw/KY04-07_leg2_bathymetry_dmo__20040630.parquet	derived/points_qc/KY04-07_leg2_bathymetry_dmo__20040630.parquet	310245	310245	310245	0	1.0	0	0	0	0	0	0	0	ok	
KY04-07_leg2_bathymetry_dmo::20040629.dat	derived/points_raw/KY04-07_leg2_bathymetry_dmo__20040629.parquet	derived/points_qc/KY04-07_leg2_bathymetry_dmo__20040629.parquet	167990	167990	167990	0	1.0	0	0	0	0	0	0	0	ok	
KY04-07_leg2_bathymetry_dmo::20040627.dat	derived/points_raw/KY04-07_leg2_bathymetry_dmo__20040627.parquet	derived/points_qc/KY04-07_leg2_bathymetry_dmo__20040627.parquet	567652	567652	567652	0	1.0	0	0	0	0	0	0	0	ok	
KY04-07_leg2_bathymetry_dmo::20040626.dat	derived/points_raw/KY04-07_leg2_bathymetry_dmo__20040626.parquet	derived/points_qc/KY04-07_leg2_bathymetry_dmo__20040626.parquet	237213	237213	237213	0	1.0	0	0	0	0	0	0	0	ok	
KY04-07_leg2_bathymetry_dmo::20040624.dat	derived/points_raw/KY04-07_leg2_bathymetry_dmo__20040624.parquet	derived/points_qc/KY04-07_leg2_bathymetry_dmo__20040624.parquet	491065	491065	491065	0	1.0	0	0	0	0	0	0	0	ok	
KY04-07_leg2_bathymetry_dmo::20040628.dat	derived/points_raw/KY04-07_leg2_bathymetry_dmo__20040628.parquet	derived/points_qc/KY04-07_leg2_bathymetry_dmo__20040628.parquet	316047	316047	316047	0	1.0	0	0	0	0	0	0	0	ok	
KR14-01_bathymetry_dmo::KR14-01_bathymetry_dmo/2_OpenCheckData/KR14-01_transit/KR14-01_t.dat	derived/points_raw/KR14-01_bathymetry_dmo__KR14-01_bathymetry_dmo__2_OpenCheckData__KR14-01_transit__KR14-01_t.parquet	derived/points_qc/KR14-01_bathymetry_dmo__KR14-01_bathymetry_dmo__2_OpenCheckData__KR14-01_transit__KR14-01_t.parquet	193487	193487	193487	0	1.0	0	0	0	0	0	0	0	ok	
KR14-01_bathymetry_dmo::KR14-01_bathymetry_dmo/2_OpenCheckData/KR14-01/KR14-01.dat	derived/points_raw/KR14-01_bathymetry_dmo__KR14-01_bathymetry_dmo__2_OpenCheckData__KR14-01__KR14-01.parquet	derived/points_qc/KR14-01_bathymetry_dmo__KR14-01_bathymetry_dmo__2_OpenCheckData__KR14-01__KR14-01.parquet	453983	453983	453983	0	1.0	0	0	0	0	0	0	0	ok	
KR09-03_leg2_bathymetry_dmo::20090504.dat	derived/points_raw/KR09-03_leg2_bathymetry_dmo__20090504.parquet	derived/points_qc/KR09-03_leg2_bathymetry_dmo__20090504.parquet	63872	63872	63872	0	1.0	0	0	0	0	0	0	0	ok	
KR09-03_leg2_bathymetry_dmo::20090505.dat	derived/points_raw/KR09-03_leg2_bathymetry_dmo__20090505.parquet	derived/points_qc/KR09-03_leg2_bathymetry_dmo__20090505.parquet	80667	80667	80667	0	1.0	0	0	0	0	0	0	0	ok	
KR16-10_bathymetry_dmo::KR16-10_bathymetry_dmo/2_OpenCheckData/KR16-10/KR16-10.dat	derived/points_raw/KR16-10_bathymetry_dmo__KR16-10_bathymetry_dmo__2_OpenCheckData__KR16-10__KR16-10.parquet	derived/points_qc/KR16-10_bathymetry_dmo__KR16-10_bathymetry_dmo__2_OpenCheckData__KR16-10__KR16-10.parquet	233108	233108	233108	0	1.0	0	0	0	0	0	0	0	ok	
KR16-10_bathymetry_dmo::KR16-10_bathymetry_dmo/2_OpenCheckData/KR16-10_transit/KR16-10_t.dat	derived/points_raw/KR16-10_bathymetry_dmo__KR16-10_bathymetry_dmo__2_OpenCheckData__KR16-10_transit__KR16-10_t.parquet	derived/points_qc/KR16-10_bathymetry_dmo__KR16-10_bathymetry_dmo__2_OpenCheckData__KR16-10_transit__KR16-10_t.parquet	439940	439940	439940	0	1.0	0	0	0	0	0	0	0	ok	
KY12-08_bathymetry_dmo::T20120523.dat	derived/points_raw/KY12-08_bathymetry_dmo__T20120523.parquet	derived/points_qc/KY12-08_bathymetry_dmo__T20120523.parquet	991081	991081	991081	0	1.0	0	0	0	0	0	0	0	ok	
KY12-08_bathymetry_dmo::20120610.dat	derived/points_raw/KY12-08_bathymetry_dmo__20120610.parquet	derived/points_qc/KY12-08_bathymetry_dmo__20120610.parquet	493187	493187	493187	0	1.0	0	0	0	0	0	0	0	ok	
KY12-08_bathymetry_dmo::20120613.dat	derived/points_raw/KY12-08_bathymetry_dmo__20120613.parquet	derived/points_qc/KY12-08_bathymetry_dmo__20120613.parquet	468240	468240	468240	0	1.0	0	0	0	0	0	0	0	ok	
KY12-08_bathymetry_dmo::T20120707.dat	derived/points_raw/KY12-08_bathymetry_dmo__T20120707.parquet	derived/points_qc/KY12-08_bathymetry_dmo__T20120707.parquet	896653	896653	896653	0	1.0	0	0	0	0	0	0	0	ok	
KY12-08_bathymetry_dmo::20120609.dat	derived/points_raw/KY12-08_bathymetry_dmo__20120609.parquet	derived/points_qc/KY12-08_bathymetry_dmo__20120609.parquet	482995	482995	482995	0	1.0	0	0	0	0	0	0	0	ok	
KY12-08_bathymetry_dmo::T20120521.dat	derived/points_raw/KY12-08_bathymetry_dmo__T20120521.parquet	derived/points_qc/KY12-08_bathymetry_dmo__T20120521.parquet	115490	115490	115490	0	1.0	0	0	0	0	0	0	0	ok	
KY12-08_bathymetry_dmo::T20120702.dat	derived/points_raw/KY12-08_bathymetry_dmo__T20120702.parquet	derived/points_qc/KY12-08_bathymetry_dmo__T20120702.parquet	433730	433730	433730	0	1.0	0	0	0	0	0	0	0	ok	
KY12-08_bathymetry_dmo::T20120630.dat	derived/points_raw/KY12-08_bathymetry_dmo__T20120630.parquet	derived/points_qc/KY12-08_bathymetry_dmo__T20120630.parquet	36379	36379	36379	0	1.0	0	0	0	0	0	0	0	ok	
KY12-08_bathymetry_dmo::20120608.dat	derived/points_raw/KY12-08_bathymetry_dmo__20120608.parquet	derived/points_qc/KY12-08_bathymetry_dmo__20120608.parquet	549113	549113	549113	0	1.0	0	0	0	0	0	0	0	ok	
KY12-08_bathymetry_dmo::T20120704.dat	derived/points_raw/KY12-08_bathymetry_dmo__T20120704.parquet	derived/points_qc/KY12-08_bathymetry_dmo__T20120704.parquet	450878	450878	450878	0	1.0	0	0	0	0	0	0	0	ok	
KY12-08_bathymetry_dmo::T20120524.dat	derived/points_raw/KY12-08_bathymetry_dmo__T20120524.parquet	derived/points_qc/KY12-08_bathymetry_dmo__T20120524.parquet	54286	54286	54286	0	1.0	0	0	0	0	0	0	0	ok	
KY12-08_bathymetry_dmo::T20120706.dat	derived/points_raw/KY12-08_bathymetry_dmo__T20120706.parquet	derived/points_qc/KY12-08_bathymetry_dmo__T20120706.parquet	600932	600932	600932	0	1.0	0	0	0	0	0	0	0	ok	
KY12-08_bathymetry_dmo::T20120705.dat	derived/points_raw/KY12-08_bathymetry_dmo__T20120705.parquet	derived/points_qc/KY12-08_bathymetry_dmo__T20120705.parquet	550412	550412	550412	0	1.0	0	0	0	0	0	0	0	ok	
KY12-08_bathymetry_dmo::T20120708.dat	derived/points_raw/KY12-08_bathymetry_dmo__T20120708.parquet	derived/points_qc/KY12-08_bathymetry_dmo__T20120708.parquet	93851	93851	93851	0	1.0	0	0	0	0	0	0	0	ok	
KY12-08_bathymetry_dmo::20120614.dat	derived/points_raw/KY12-08_bathymetry_dmo__20120614.parquet	derived/points_qc/KY12-08_bathymetry_dmo__20120614.parquet	452501	452501	452501	0	1.0	0	0	0	0	0	0	0	ok	
KY12-08_bathymetry_dmo::20120612.dat	derived/points_raw/KY12-08_bathymetry_dmo__20120612.parquet	derived/points_qc/KY12-08_bathymetry_dmo__20120612.parquet	461723	461723	461723	0	1.0	0	0	0	0	0	0	0	ok	
KY12-08_bathymetry_dmo::20120615.dat	derived/points_raw/KY12-08_bathymetry_dmo__20120615.parquet	derived/points_qc/KY12-08_bathymetry_dmo__20120615.parquet	440382	440382	440382	0	1.0	0	0	0	0	0	0	0	ok	
KY12-08_bathymetry_dmo::20120619.dat	derived/points_raw/KY12-08_bathymetry_dmo__20120619.parquet	derived/points_qc/KY12-08_bathymetry_dmo__20120619.parquet	110284	110284	110284	0	1.0	0	0	0	0	0	0	0	ok	
KY12-08_bathymetry_dmo::20120618.dat	derived/points_raw/KY12-08_bathymetry_dmo__20120618.parquet	derived/points_qc/KY12-08_bathymetry_dmo__20120618.parquet	457849	457849	457849	0	1.0	0	0	0	0	0	0	0	ok	
KY12-08_bathymetry_dmo::T20120520.dat	derived/points_raw/KY12-08_bathymetry_dmo__T20120520.parquet	derived/points_qc/KY12-08_bathymetry_dmo__T20120520.parquet	342194	342194	342194	0	1.0	0	0	0	0	0	0	0	ok	
KY12-08_bathymetry_dmo::20120607.dat	derived/points_raw/KY12-08_bathymetry_dmo__20120607.parquet	derived/points_qc/KY12-08_bathymetry_dmo__20120607.parquet	617782	617782	617782	0	1.0	0	0	0	0	0	0	0	ok	
KY12-08_bathymetry_dmo::20120617.dat	derived/points_raw/KY12-08_bathymetry_dmo__20120617.parquet	derived/points_qc/KY12-08_bathymetry_dmo__20120617.parquet	349273	349273	349273	0	1.0	0	0	0	0	0	0	0	ok	
KY12-08_bathymetry_dmo::20120606.dat	derived/points_raw/KY12-08_bathymetry_dmo__20120606.parquet	derived/points_qc/KY12-08_bathymetry_dmo__20120606.parquet	174	174	174	0	1.0	0	0	0	0	0	0	0	ok	
KY12-08_bathymetry_dmo::20120616.dat	derived/points_raw/KY12-08_bathymetry_dmo__20120616.parquet	derived/points_qc/KY12-08_bathymetry_dmo__20120616.parquet	366979	366979	366979	0	1.0	0	0	0	0	0	0	0	ok	
