file_id	input_relative_path	output_relative_path	data_layout	rows_expected_from_manifest	rows_written	lon_raw_min	lon_raw_max	lon_min	lon_max	lat_min	lat_max	depth_min	depth_max	elev_min	elev_max	has_date_time_sonar	status	notes
MR03-K04_leg1_bathymetry_dmo::grid_p06.dat	MR03-K04_leg1_bathymetry_dmo/grid_p06.dat	derived/points_raw_lon360/MR03-K04_leg1_bathymetry_dmo__grid_p06.parquet	lon_lat_depth_3col	5763917.0	5763917	153.47031	288.504	-180.0	179.99936000000002	-32.61158	-29.94347	91.2	10108.0	-10108.0	-91.2	False	ok	
MR03-K04_leg5_bathymetry_dmo::grid_p06.dat	MR03-K04_leg5_bathymetry_dmo/grid_p06.dat	derived/points_raw_lon360/MR03-K04_leg5_bathymetry_dmo__grid_p06.parquet	lon_lat_depth_3col	5763917.0	5763917	153.47031	288.504	-180.0	179.99936000000002	-32.61158	-29.94347	91.2	10108.0	-10108.0	-91.2	False	ok	
MR03-K04_leg4_bathymetry_dmo::grid_p06.dat	MR03-K04_leg4_bathymetry_dmo/grid_p06.dat	derived/points_raw_lon360/MR03-K04_leg4_bathymetry_dmo__grid_p06.parquet	lon_lat_depth_3col	5763917.0	5763917	153.47031	288.504	-180.0	179.99936000000002	-32.61158	-29.94347	91.2	10108.0	-10108.0	-91.2	False	ok	
